author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Москва,sale,flat,19,32,1,32.2,25000000,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303817562/,Москва,sale,flat,3,9,2,47.0,12490000,Орехово-Борисово Южное,Домодедовская ,33,Домодедовская,
Sminex,developer,https://www.cian.ru/sale/flat/303125490/,Москва,sale,flat,11,14,2,67.1,38790000,Раменки,проспект Генерала Дорохова,39к2М,Ломоносовский проспект,Собрание клубных домов West Garden
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303337092/,Москва,sale,flat,3,7,2,91.2,80000000,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/302728199/,Москва,sale,flat,5,17,2,55.9,17900000,Отрадное,Нововладыкинский проезд,1к3,Окружная,Поколение
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,54389000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303820905/,Москва,sale,flat,10,14,1,65.2,35000000,Мещанский, Гиляровского,50,Проспект Мира,
Unique,real_estate_agent,https://www.cian.ru/sale/flat/303783084/,Москва,sale,flat,6,9,2,60.0,18000000,, Ясеневая,1к1,Ольховая,
EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,159473684,Арбат, Арбат,24,Смоленская,Turandot Residences
GLINCOM,official_representative,https://www.cian.ru/sale/flat/297952301/,Москва,sale,flat,2,6,2,90.0,34900000,Алексеевский,проспект Мира,102к2,Алексеевская,Парк Мира
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/303116161/,Москва,sale,flat,7,9,2,43.0,11950000,,проспект Магеллана,2,Прокшино,Испанские кварталы
КРОСТ,developer,https://www.cian.ru/sale/flat/296745429/,Москва,sale,flat,26,28,2,47.5,22182500,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,15500000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300568239/,Москва,sale,flat,3,5,2,46.7,12390000,Новогиреево,Мартеновская ,20,Новогиреево,
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,78259545,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/303980600/,Москва,sale,flat,4,10,2,44.3,34000000,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/303226697/,Москва,sale,flat,7,12,1,39.4,7900000,,проспект Куприна,32к1,Бунинская аллея,Эко Бунино
MR Group,developer,https://www.cian.ru/sale/flat/294196808/,Москва,sale,flat,33,41,2,75.2,38352000,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289514736/,Москва,sale,flat,2,5,2,64.0,166400000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
Адресат,real_estate_agent,https://www.cian.ru/sale/flat/301737380/,Москва,sale,flat,4,14,1,34.9,8800000,Выхино-Жулебино,Ташкентская ,26,Юго-Восточная,
Группа Родина,developer,https://www.cian.ru/sale/flat/285606685/,Москва,sale,flat,2,23,2,62.5,31200000,Ростокино,,к2,Ботанический сад,Союз ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/301035843/,Москва,sale,flat,3,7,2,99.0,80000000,Басманный,Гороховский переулок,12,Курская,Гороховский 12
Оксана Чернега,realtor,https://www.cian.ru/sale/flat/304050433/,Москва,sale,flat,5,14,2,67.8,45000000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,ЗИЛАРТ
GloraX,developer,https://www.cian.ru/sale/flat/303476931/,Москва,sale,flat,10,21,2,67.62,38059999,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/292853214/,Москва,sale,flat,36,41,2,58.3,33000000,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303810531/,Москва,sale,flat,5,8,2,44.7,14190000,Донской,Варшавское шоссе,18К3,Верхние котлы,
Ташир,developer,https://www.cian.ru/sale/flat/302722354/,Москва,sale,flat,2,16,2,46.8,23868000,Даниловский, Серпуховский Вал,1,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153579/,Москва,sale,flat,12,41,1,41.9,30900000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303814205/,Москва,sale,flat,2,9,1,34.1,20490000,Красносельский,переулок Даев,12/16,Сухаревская,
Sminex,developer,https://www.cian.ru/sale/flat/303262395/,Москва,sale,flat,2,21,2,59.52,27900000,Марфино, Академика Королева,21,Бутырская,Дом Достижение
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,59000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 96167522,realtor,https://www.cian.ru/sale/flat/299789518/,Москва,sale,flat,6,9,1,26.9,6182125,Люблино, Верхние Поля,27С2,Братиславская,
MR Group,developer,https://www.cian.ru/sale/flat/303224692/,Москва,sale,flat,12,44,2,61.78,29208367,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/294872333/,Москва,sale,flat,17,18,2,117.0,179000000,Пресненский,2-я Звенигородская ,11,Улица 1905 года,Резиденция МОНЭ
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303936001/,Москва,sale,flat,17,24,1,29.1,8500000,Митино,Митинская ,16,Митино,Апарт-отель YE’S
VESPER,developer,https://www.cian.ru/sale/flat/289484529/,Москва,sale,flat,8,9,1,64.5,89010000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300701528/,Москва,sale,flat,11,41,2,67.1,33000000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300350306/,Москва,sale,flat,2,22,2,72.5,31499000,Филевский парк,Береговой проезд,5к3,Фили,Фили Град
Главстрой,developer,https://www.cian.ru/sale/flat/298342644/,Москва,sale,flat,5,20,1,41.0,22168987,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302177521/,Москва,sale,flat,3,15,2,58.54,65000000,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300028388/,Москва,sale,flat,8,17,2,56.3,13250000,, Бианки,1,Рассказовка,Город-парк Первый Московский
MR Group,developer,https://www.cian.ru/sale/flat/298278959/,Москва,sale,flat,2,37,2,64.3,41616568,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302203106/,Москва,sale,flat,8,19,1,30.8,20750000,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302999320/,Москва,sale,flat,4,8,2,69.8,59798582,Хамовники,Смоленский бульвар,22/14,Смоленская,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301764354/,Москва,sale,flat,2,8,2,63.6,88149600,Мещанский,Большой Кисельный переулок,11/2с2,Тургеневская,Frank's house
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/303919506/,Москва,sale,flat,22,43,1,44.0,29300000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303633126/,Москва,sale,flat,8,9,2,41.0,11290000,Люблино, Верхние Поля,7К2,Братиславская,
Ташир,developer,https://www.cian.ru/sale/flat/299137381/,Москва,sale,flat,4,21,2,47.9,19339625,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,96000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
ID 95996886,realtor,https://www.cian.ru/sale/flat/302896262/,Москва,sale,flat,8,9,2,37.0,13500000,Текстильщики,Волжский бульвар,12К1,Текстильщики,
Prime Life Development,developer,https://www.cian.ru/sale/flat/299132492/,Москва,sale,flat,6,28,2,59.76,29898807,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,Первый Нагатинский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303753508/,Москва,sale,flat,37,37,1,48.0,42000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/303627577/,Москва,sale,flat,5,14,2,51.4,14200000,Южное Тушино, Свободы,40К1,Сходненская,
Forma,developer,https://www.cian.ru/sale/flat/297983491/,Москва,sale,flat,5,29,2,64.8,29626560,Аэропорт,Часовая ,28к8,Сокол,SOUL
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,65000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/302013644/,Москва,sale,flat,3,9,2,54.3,12885390,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Sminex,developer,https://www.cian.ru/sale/flat/299801831/,Москва,sale,flat,2,23,2,56.0,56130000,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
ID 109135729,realtor,https://www.cian.ru/sale/flat/303087972/,Москва,sale,flat,3,21,2,58.54,61000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/302202980/,Москва,sale,flat,5,8,2,78.1,26500000,Куркино,Юровская ,95К1,Молжаниново,
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,23930985,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
ID 12530791,unknown,https://www.cian.ru/sale/flat/303761506/,Москва,sale,flat,38,78,1,58.0,70000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/267759029/,Москва,sale,flat,12,20,2,48.0,17199999,Обручевский, Академика Волгина,8Ак1,Беляево,Светлый город
Главстрой,developer,https://www.cian.ru/sale/flat/301772066/,Москва,sale,flat,3,35,1,39.08,20505276,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
КОРТРОС,developer,https://www.cian.ru/sale/flat/302789652/,Москва,sale,flat,14,49,1,40.1,17964800,Марьина роща,,,Марьина Роща,Тэйт ЖК
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298329474/,Москва,sale,flat,7,9,2,69.9,69134455,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,21500000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,6854250,Люблино, Верхние Поля,27С2,Братиславская,
Группа Родина,developer,https://www.cian.ru/sale/flat/303533945/,Москва,sale,flat,4,14,2,49.8,26021300,Можайский,,,Давыдково,Родина Парк ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301655618/,Москва,sale,flat,1,11,2,74.13,100000000,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
ID 107814632,homeowner,https://www.cian.ru/sale/flat/304088261/,Москва,sale,flat,2,2,2,24.4,8170000,Текстильщики,1-й Грайвороновский проезд,1,Текстильщики,Грани
PIONEER,developer,https://www.cian.ru/sale/flat/303709179/,Москва,sale,flat,9,22,1,31.0,16667801,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/303400078/,Москва,sale,flat,35,78,2,82.0,55600000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812063/,Москва,sale,flat,2,3,2,77.0,50000000,Хамовники,Саввинская набережная,5,Киевская,
FORMA,developer,https://www.cian.ru/sale/flat/303018405/,Москва,sale,flat,18,33,2,46.45,41753905,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303060724/,Москва,sale,flat,8,32,2,63.4,51000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
RND,real_estate_agent,https://www.cian.ru/sale/flat/302489254/,Москва,sale,flat,8,16,1,37.0,22700000,Даниловский, Архитектора Щусева,5к1,ЗИЛ,ЗИЛАРТ
Среда,developer,https://www.cian.ru/sale/flat/303626069/,Москва,sale,flat,3,27,1,35.3,14988380,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300983679/,Москва,sale,flat,13,21,2,80.3,54900000,Раменки,Мосфильмовская ,88к4,Раменки,Мосфильмовский
BERI,real_estate_agent,https://www.cian.ru/sale/flat/301596332/,Москва,sale,flat,4,5,2,53.9,20290000,Ломоносовский, Строителей,5К4,Университет,
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640150/,Москва,sale,flat,5,49,2,59.19,23143290,Марьина роща,,,Марьина Роща,Тэйт ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299551213/,Москва,sale,flat,4,4,2,59.9,48000000,Пресненский,Малый Козихинский переулок,8/18,Пушкинская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303928162/,Москва,sale,flat,2,12,2,44.4,19000000,Сокольники, Жебрунова,1,Сокольники,
MR Group,developer,https://www.cian.ru/sale/flat/303880112/,Москва,sale,flat,2,54,2,59.94,29490480,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299655879/,Москва,sale,flat,14,24,2,46.0,31000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/298519060/,Москва,sale,flat,5,19,2,52.0,28000000,Хорошево-Мневники,Шелепихинская набережная,34к1зд4,Шелепиха,Сердце Столицы
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040427/,Москва,sale,flat,4,6,1,51.2,57190400,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/302362462/,Москва,sale,flat,13,36,2,64.0,40900000,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303788194/,Москва,sale,flat,14,29,2,50.1,29600000,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
Донстрой,developer,https://www.cian.ru/sale/flat/304095700/,Москва,sale,flat,3,16,2,81.6,60024960,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/300862129/,Москва,sale,flat,24,24,2,58.0,38950000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
АЙГРИН,developer,https://www.cian.ru/sale/flat/300193609/,Москва,sale,flat,6,14,2,52.73,11862950,Силино,проспект Генерала Алексеева,17с1,Зеленоград — Крюково,Апарт-отель Сигма Силино
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040538/,Москва,sale,flat,5,8,1,48.3,36852900,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298473301/,Москва,sale,flat,13,25,2,52.3,23500000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301156873/,Москва,sale,flat,2,7,2,75.0,37800000,Мещанский, Гиляровского,55,Проспект Мира,Дом на Гиляровского
Пионер,developer,https://www.cian.ru/sale/flat/301460290/,Москва,sale,flat,20,39,2,37.4,31080709,Даниловский,,,Павелецкая,Хай Лайф ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295983268/,Москва,sale,flat,44,44,2,86.3,42000000,Хорошево-Мневники, Шеногина,,Шелепиха,Sydney City
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300133660/,Москва,sale,flat,3,3,2,107.8,70000000,Покровское-Стрешнево,Ленинградское шоссе,23к1,Балтийская,TWEED PARK
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551495/,Москва,sale,flat,7,34,2,59.1,22762661,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
ID 107328710,realtor,https://www.cian.ru/sale/flat/296723055/,Москва,sale,flat,9,9,2,49.0,36000000,Арбат,Смоленская ,10,Смоленская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/301361857/,Москва,sale,flat,5,9,1,29.5,6688500,Люблино, Верхние Поля,27С2,Братиславская,
Основа,developer,https://www.cian.ru/sale/flat/292154031/,Москва,sale,flat,6,28,2,41.3,17065160,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296711017/,Москва,sale,flat,6,12,2,52.0,30000000,Аэропорт,Ленинградский проспект,36с36,Петровский Парк,ВТБ Арена парк
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303720302/,Москва,sale,flat,22,24,1,37.9,9350000,, Бачуринская,7к2,Коммунарка,
Sminex,developer,https://www.cian.ru/sale/flat/294328854/,Москва,sale,flat,3,6,2,120.3,226580000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299203876/,Москва,sale,flat,2,10,1,35.0,13100000,Ростокино,проспект Мира,188Бк2,Ростокино,Триколор
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/302961604/,Москва,sale,flat,1,16,1,43.9,13800000,Ховрино, Лавочкина,42,Речной вокзал,
MR Group,developer,https://www.cian.ru/sale/flat/300288766/,Москва,sale,flat,40,54,1,29.14,19101464,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Барно Турсунова,realtor,https://www.cian.ru/sale/flat/304102478/,Москва,sale,flat,7,17,2,50.9,15480000,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/301821529/,Москва,sale,flat,14,14,1,38.9,12800000,Южнопортовый,Шарикоподшипниковская ,16,Дубровка,
Tekta Group,developer,https://www.cian.ru/sale/flat/303506169/,Москва,sale,flat,3,22,2,39.9,17288670,Нагорный,,1,Нагорная,Твелв ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300610100/,Москва,sale,flat,3,24,2,70.0,46500000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/300060991/,Москва,sale,flat,7,9,1,32.8,8990000,Лосиноостровский,Тайнинская ,22,Медведково,
Пионер,developer,https://www.cian.ru/sale/flat/301459888/,Москва,sale,flat,6,18,2,48.4,36518949,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,41000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302731259/,Москва,sale,flat,5,14,2,82.0,150000000,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040411/,Москва,sale,flat,5,23,1,47.6,21372400,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303564346/,Москва,sale,flat,3,20,2,56.6,64186000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/301907258/,Москва,sale,flat,2,12,1,38.7,10600000,Строгино, Исаковского,2К1,Мякинино,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298849163/,Москва,sale,flat,3,10,1,45.5,23596300,,,В14 кв-л,Павшино,Сберсити ЖК
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/301809971/,Москва,sale,flat,58,78,2,75.0,45000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303203965/,Москва,sale,flat,2,25,1,41.3,12200000,Орехово-Борисово Южное,Ясеневая ,12к2,Домодедовская,Ясеневая 14
Tekta Group,developer,https://www.cian.ru/sale/flat/301260582/,Москва,sale,flat,14,27,1,28.1,19453630,Даниловский,,,Павелецкая,Era
