author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/298334392/,Москва,sale,flat,6,15,1,40.5,24502499,Раменки,Винницкая ,8к3,Раменки,Настоящее
luxе real estate,real_estate_agent,https://www.cian.ru/sale/flat/301721760/,Москва,sale,flat,4,13,2,66.0,24400000,Академический,Новочеремушкинская ,27,Академическая,"Новочерёмушкинская, 27"
Forma,developer,https://www.cian.ru/sale/flat/303666807/,Москва,sale,flat,7,25,2,69.3,29650420,Печатники,Южнопортовая ,,Печатники,Portland
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303459806/,Москва,sale,flat,9,15,2,62.9,35500000,Раменки,Винницкая ,8к3,Раменки,Настоящее
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/303294788/,Москва,sale,flat,14,25,1,37.7,20535964,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/296774064/,Москва,sale,flat,2,24,1,43.9,20014010,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
VIСTORY GROUP,real_estate_agent,https://www.cian.ru/sale/flat/302730830/,Москва,sale,flat,14,32,2,64.0,47990000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
VOS HOD,developer,https://www.cian.ru/sale/flat/300560437/,Москва,sale,flat,8,17,1,69.3,38918880,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303199166/,Москва,sale,flat,7,79,2,62.1,49680000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Hutton Development,developer,https://www.cian.ru/sale/flat/303631394/,Москва,sale,flat,5,17,1,50.3,35000000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299740778/,Москва,sale,flat,1,17,2,65.8,14000000,, Бачуринская,22к2,Коммунарка,
TOUCH,developer,https://www.cian.ru/sale/flat/302838439/,Москва,sale,flat,2,13,1,40.02,22691340,Южнопортовый,,к3,Дубровка,Шампайн ЖК
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303016403/,Москва,sale,flat,12,28,1,45.2,20950000,Даниловский,Автозаводская ,,Автозаводская,Shagal
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300923063/,Москва,sale,flat,2,15,1,36.6,13995840,Головинский,Северный ао,,Коптево,Михалковский ЖК
MR Group,developer,https://www.cian.ru/sale/flat/303786405/,Москва,sale,flat,12,39,1,33.69,14852731,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/303520855/,Москва,sale,flat,1,6,2,54.0,47000000,Пресненский,Большой Козихинский переулок,17С1,Пушкинская,
ДОНСТРОЙ,developer,https://www.cian.ru/sale/flat/304095973/,Москва,sale,flat,13,50,1,39.7,22501960,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/302885559/,Москва,sale,flat,5,41,2,68.0,51390000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Estes,real_estate_agent,https://www.cian.ru/sale/flat/302214446/,Москва,sale,flat,28,45,2,77.1,37400000,Хорошево-Мневники,,,Шелепиха,Сидней Сити ЖК
GloraX,developer,https://www.cian.ru/sale/flat/303477025/,Москва,sale,flat,4,21,1,53.11,29079999,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299008779/,Москва,sale,flat,12,28,2,121.68,63400000,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/302363686/,Москва,sale,flat,6,14,2,78.0,37990000,Беговой,Скаковая ,5,Белорусская,
Level Group,developer,https://www.cian.ru/sale/flat/302985345/,Москва,sale,flat,2,11,2,31.0,27492377,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302543412/,Москва,sale,flat,8,9,2,71.3,60000000,Тверской,1-я Тверская-Ямская ,7,Маяковская,
Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/300660827/,Москва,sale,flat,28,29,2,53.6,42800000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
Основа,developer,https://www.cian.ru/sale/flat/297432252/,Москва,sale,flat,4,31,2,46.05,21183000,Марфино,,к1,Улица Милашенкова,Вери ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290697585/,Москва,sale,flat,3,9,2,148.5,230000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/292154263/,Москва,sale,flat,4,20,2,76.6,62046000,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Level Group,developer,https://www.cian.ru/sale/flat/301555238/,Москва,sale,flat,13,24,2,45.6,19226800,Покровское-Стрешнево,Северо-Западный ао,,Тушинская,Левел Стрешнево ЖК
Sminex,developer,https://www.cian.ru/sale/flat/303262675/,Москва,sale,flat,20,26,1,35.93,21290000,Марфино, Академика Королева,21,Бутырская,Дом Достижение
MR Group,developer,https://www.cian.ru/sale/flat/303541823/,Москва,sale,flat,18,44,1,41.34,21971194,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
Level Group,developer,https://www.cian.ru/sale/flat/302621324/,Москва,sale,flat,2,64,2,34.9,19444126,Хорошево-Мневники,,,Народное Ополчение,Левел Звенигородская ЖК
St Michael,developer,https://www.cian.ru/sale/flat/303024911/,Москва,sale,flat,16,21,2,58.28,25323650,Хорошевский,9Ак7,9Ак7,Полежаевская,Зорге 9 ЖК
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294623881/,Москва,sale,flat,15,22,1,19.9,8060000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Level Group,developer,https://www.cian.ru/sale/flat/303284920/,Москва,sale,flat,29,31,2,40.1,18747400,Западное Дегунино,Северный ао,к3,Верхние Лихоборы,Левел Селигерская ЖК
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/302615259/,Москва,sale,flat,7,9,2,65.0,41900000,Басманный, Земляной Вал,21/2С1,Курская,
Донстрой,developer,https://www.cian.ru/sale/flat/304095698/,Москва,sale,flat,2,16,1,54.7,42086180,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302342877/,Москва,sale,flat,6,6,2,143.0,157134960,Якиманка, Большая Полянка,61С2,Добрынинская,
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/303252400/,Москва,sale,flat,6,10,2,96.0,260000000,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
Sminex,developer,https://www.cian.ru/sale/flat/303649388/,Москва,sale,flat,22,23,1,298.3,448200000,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
А101,developer,https://www.cian.ru/sale/flat/301534151/,Москва,sale,flat,9,10,2,43.2,8840771,,,3.3,Толстопальцево,Родные кварталы ЖК
Евгения Климова,realtor,https://www.cian.ru/sale/flat/302900735/,Москва,sale,flat,2,17,1,37.0,14500000,Хорошевский,9Ак7,9Ак7,Полежаевская,Зорге 9 ЖК
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/302283450/,Москва,sale,flat,5,14,2,52.0,15999999,Марьино,Братиславская ,6К1,Братиславская,
Основа,developer,https://www.cian.ru/sale/flat/293623772/,Москва,sale,flat,6,28,1,43.5,17182500,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/302124517/,Москва,sale,flat,3,34,1,47.8,19320760,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
MR Group,developer,https://www.cian.ru/sale/flat/303861522/,Москва,sale,flat,2,54,1,36.06,20713585,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/302793185/,Москва,sale,flat,3,10,2,63.0,26000000,Можайский,Барвихинская ,6,Сетунь,Дом на Барвихинской
Пионер,developer,https://www.cian.ru/sale/flat/301460277/,Москва,sale,flat,16,39,1,37.2,27747294,Даниловский,,,Павелецкая,Хай Лайф ЖК
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/303155483/,Москва,sale,flat,3,7,2,80.0,29290000,Басманный,Нижняя Красносельская ,35С2,Бауманская,Kleinhouse
Upside Development,developer,https://www.cian.ru/sale/flat/303215976/,Москва,sale,flat,12,12,1,58.7,38155000,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296403571/,Москва,sale,flat,4,8,2,65.0,44900000,Тверской,Благовещенский переулок,5,Маяковская,
Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/295368581/,Москва,sale,flat,3,9,2,135.4,145000000,Якиманка, Малая Полянка,2,Полянка,Онегин
Sminex,developer,https://www.cian.ru/sale/flat/294328835/,Москва,sale,flat,3,6,1,78.7,164750000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/295014010/,Москва,sale,flat,6,22,1,17.3,8590000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/300858701/,Москва,sale,flat,6,22,1,17.3,8590000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/296124514/,Москва,sale,flat,22,22,1,17.2,8780000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292542632/,Москва,sale,flat,22,22,1,19.4,8880000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/300822403/,Москва,sale,flat,22,22,1,19.4,8880000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/301476484/,Москва,sale,flat,13,22,1,17.6,8900000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294621795/,Москва,sale,flat,13,22,1,19.9,9070000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/303666748/,Москва,sale,flat,16,22,1,19.2,9000000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,9215000,Люблино, Верхние Поля,27С2,Братиславская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302919967/,Москва,sale,flat,3,9,2,44.4,11999999,Выхино-Жулебино,Ташкентская ,15/22,Юго-Восточная,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303274502/,Москва,sale,flat,3,9,1,32.1,12690000,Южнопортовый,5-я Кожуховская ,22К2,Кожуховская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/301597650/,Москва,sale,flat,5,9,2,44.8,15190000,Очаково-Матвеевское,Очаковское шоссе,11К1,Аминьевская,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301506427/,Москва,sale,flat,1,12,2,38.2,17200000,Тверской, Бутырский Вал,34,Белорусская,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303787673/,Москва,sale,flat,3,16,2,57.0,17500000,,проспект Прокшинский,10,Прокшино,Прокшино
ID 21251358,realtor,https://www.cian.ru/sale/flat/303646912/,Москва,sale,flat,6,43,1,28.0,17490000,Раменки, Василия Ланового,1к1,Аминьевская,Огни
Tekta Group,developer,https://www.cian.ru/sale/flat/303506233/,Москва,sale,flat,8,28,1,39.7,17789570,Нагорный,,1,Нагорная,Твелв ЖК
Андрей Иванов,realtor,https://www.cian.ru/sale/flat/299174112/,Москва,sale,flat,22,33,1,34.4,19000000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
Level Group,developer,https://www.cian.ru/sale/flat/301797575/,Москва,sale,flat,2,48,1,32.5,19142110,Очаково-Матвеевское,,к8,Аминьевская,Левел Мичуринский ЖК
MR Group,developer,https://www.cian.ru/sale/flat/303227074/,Москва,sale,flat,17,30,1,41.5,19199932,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект,Метрополия
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296736911/,Москва,sale,flat,4,21,1,45.15,22500000,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
ID 104795526,real_estate_agent,https://www.cian.ru/sale/flat/297486676/,Москва,sale,flat,2,9,1,41.4,22900000,Хамовники,Комсомольский проспект,23/7,Фрунзенская,
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303933867/,Москва,sale,flat,8,46,2,43.5,23500000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303100522/,Москва,sale,flat,9,17,2,75.0,24500000,Даниловский,1-я оч.,11к2,ЗИЛ,Shagal
MR Group,developer,https://www.cian.ru/sale/flat/276155299/,Москва,sale,flat,3,57,1,42.77,24617001,Филевский парк,,,Фили,Фили Сити ЖК
Level Group,developer,https://www.cian.ru/sale/flat/303990061/,Москва,sale,flat,3,11,1,37.9,26171019,Басманный,Большая Почтовая ,,Электрозаводская,Level Бауманская
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293718260/,Москва,sale,flat,5,6,1,43.0,27500000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300386935/,Москва,sale,flat,10,33,2,44.3,28500000,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303196371/,Москва,sale,flat,14,28,2,67.0,30000000,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,КутузовGRAD II
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/288460035/,Москва,sale,flat,9,21,2,50.3,33400000,Басманный, Земляной Вал,37к1,Чкаловская,Дом Chkalov
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303875575/,Москва,sale,flat,21,36,2,56.1,35500000,Хорошево-Мневники,Шелепихинская набережная,42к2,Полежаевская,FreeDOM
ID 74438895,realtor,https://www.cian.ru/sale/flat/302406289/,Москва,sale,flat,11,16,2,63.0,35900000,Сокольники, Матросская Тишина,12,Сокольники,Ренессанс
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302295108/,Москва,sale,flat,10,46,2,58.5,39900000,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296565916/,Москва,sale,flat,4,8,2,65.0,44900000,Тверской,Благовещенский переулок,5,Маяковская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299008778/,Москва,sale,flat,4,28,2,70.0,48000000,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298329420/,Москва,sale,flat,2,9,1,49.2,50910200,Таганский,Серебрянический переулок,6,Китай-город,Титул на Серебрянической
Capital Group,developer,https://www.cian.ru/sale/flat/301483027/,Москва,sale,flat,12,18,1,53.4,59653573,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303370372/,Москва,sale,flat,4,8,1,57.0,70000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299558863/,Москва,sale,flat,2,4,2,136.6,75000000,Донской,Варшавское шоссе,9с28,Тульская,Даниловская мануфактура
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006046/,Москва,sale,flat,4,6,2,156.0,77400000,Тверской, Малая Дмитровка,29С1,Маяковская,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/303920462/,Москва,sale,flat,17,78,2,92.0,80000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Правовой центр жилья,real_estate_agent,https://www.cian.ru/sale/flat/303612164/,Москва,sale,flat,2,8,2,77.4,123000000,Красносельский,Костянский переулок,13,Сретенский бульвар,Клубный дом TURGENEV
Кристина Лебедева,realtor,https://www.cian.ru/sale/flat/300285703/,Москва,sale,flat,3,4,2,36.0,10150000,Соколиная гора,Щербаковская ,53,Измайлово,
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/297704043/,Москва,sale,flat,15,21,1,36.5,16500000,Головинский,Кронштадтский бульвар,к1/2,Водный стадион,Кронштадтский 9
Prime,real_estate_agent,https://www.cian.ru/sale/flat/300941020/,Москва,sale,flat,2,28,1,46.3,18400000,Даниловский,1-я оч.,к7,ЗИЛ,Shagal
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/303228530/,Москва,sale,flat,19,43,1,39.5,21050000,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,Sydney City
Level Group,developer,https://www.cian.ru/sale/flat/302126131/,Москва,sale,flat,20,26,1,33.5,22848309,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/302828206/,Москва,sale,flat,14,25,1,44.3,23527036,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
Премиум Сервис,real_estate_agent,https://www.cian.ru/sale/flat/300644939/,Москва,sale,flat,9,29,1,35.4,25000000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Трансстройинвест,developer,https://www.cian.ru/sale/flat/303921201/,Москва,sale,flat,14,22,1,48.6,25876852,Останкинский,проезд Ольминского,4,ВДНХ,Сенатор
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302727288/,Москва,sale,flat,11,15,2,53.0,30500000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
Prime,real_estate_agent,https://www.cian.ru/sale/flat/294562801/,Москва,sale,flat,25,33,2,69.8,36800000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/300299470/,Москва,sale,flat,22,44,2,85.7,38000000,Хорошево-Мневники, Шеногина,,Шелепиха,Sydney City
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302893025/,Москва,sale,flat,28,29,2,53.0,44000000,Якиманка,Мытная ,40к4,Октябрьская,Sky House
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302620422/,Москва,sale,flat,11,12,2,77.0,64000000,Аэропорт,Ленинградский проспект,36с36,Петровский Парк,ВТБ Арена парк
Колди,developer,https://www.cian.ru/sale/flat/302241111/,Москва,sale,flat,12,21,1,38.59,11281238,Нижегородский,Автомобильный проезд,4,Калитники,N’ice Loft
MR Group,developer,https://www.cian.ru/sale/flat/298871546/,Москва,sale,flat,38,48,1,34.8,16136690,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
Адресат,real_estate_agent,https://www.cian.ru/sale/flat/303608215/,Москва,sale,flat,18,33,2,57.0,16200000,Южное Бутово, Поляны,5Ак2,Улица Скобелевская,Столичные поляны
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298484253/,Москва,sale,flat,3,14,1,38.8,16500000,Даниловский,проспект Лихачева,,ЗИЛ,Nagatino i-Land
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303253613/,Москва,sale,flat,4,15,1,30.2,17500000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298496731/,Москва,sale,flat,14,19,1,29.0,18009000,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301313976/,Москва,sale,flat,26,42,2,46.0,22500000,Котловка,Большая Черемушкинская ,25С14,Нагорная,Eniteo
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299110205/,Москва,sale,flat,7,11,1,39.8,24950000,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/296569807/,Москва,sale,flat,50,55,2,42.62,26750000,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297075052/,Москва,sale,flat,50,55,2,42.47,26750000,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
TOUCH,developer,https://www.cian.ru/sale/flat/302838431/,Москва,sale,flat,8,13,1,45.55,29049000,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303122846/,Москва,sale,flat,17,22,2,73.3,32000000,Щукино,Щукинская ,3,Стрешнево,Интонация
VOS HOD,developer,https://www.cian.ru/sale/flat/300560430/,Москва,sale,flat,9,17,1,69.5,39128500,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297080776/,Москва,sale,flat,50,55,2,65.21,42000000,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297716380/,Москва,sale,flat,36,53,2,78.0,45800000,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298199191/,Москва,sale,flat,11,14,2,69.0,55000000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299294037/,Москва,sale,flat,2,6,2,80.0,80000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298529365/,Москва,sale,flat,6,10,2,70.0,88000000,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
